FolioPage,Sequence,Label
urn:cite:hcmid:cb48.150r,300,"Codex Bodmer 48, folio 150, verso"
urn:cite:hcmid:cb48.151r,301,"Codex Bodmer 48, folio 151, recto"
urn:cite:hcmid:cb48.151r,302,"Codex Bodmer 48, folio 151, verso"
urn:cite:hcmid:cb48.152r,303,"Codex Bodmer 48, folio 152, recto"
urn:cite:hcmid:cb48.152r,304,"Codex Bodmer 48, folio 152, verso"
urn:cite:hcmid:cb48.153r,305,"Codex Bodmer 48, folio 153, recto"
urn:cite:hcmid:cb48.153r,306,"Codex Bodmer 48, folio 153, verso"
urn:cite:hcmid:cb48.154r,307,"Codex Bodmer 48, folio 154, recto"
urn:cite:hcmid:cb48.154r,308,"Codex Bodmer 48, folio 154, verso"
urn:cite:hcmid:cb48.155r,309,"Codex Bodmer 48, folio 155, recto"
urn:cite:hcmid:cb48.155r,310,"Codex Bodmer 48, folio 155, verso"
urn:cite:hcmid:cb48.156r,311,"Codex Bodmer 48, folio 156, recto"
urn:cite:hcmid:cb48.156r,312,"Codex Bodmer 48, folio 156, verso"
urn:cite:hcmid:cb48.157r,313,"Codex Bodmer 48, folio 157, recto"
urn:cite:hcmid:cb48.157r,314,"Codex Bodmer 48, folio 157, verso"
urn:cite:hcmid:cb48.158r,315,"Codex Bodmer 48, folio 158, recto"
urn:cite:hcmid:cb48.158r,316,"Codex Bodmer 48, folio 158, verso"
urn:cite:hcmid:cb48.159r,317,"Codex Bodmer 48, folio 159, recto"
urn:cite:hcmid:cb48.159r,318,"Codex Bodmer 48, folio 159, verso"
urn:cite:hcmid:cb48.160r,319,"Codex Bodmer 48, folio 160, recto"
urn:cite:hcmid:cb48.160r,320,"Codex Bodmer 48, folio 160, verso"
urn:cite:hcmid:cb48.161r,321,"Codex Bodmer 48, folio 161, recto"
urn:cite:hcmid:cb48.161r,322,"Codex Bodmer 48, folio 161, verso"
urn:cite:hcmid:cb48.162r,323,"Codex Bodmer 48, folio 162, recto"
urn:cite:hcmid:cb48.162r,324,"Codex Bodmer 48, folio 162, verso"
urn:cite:hcmid:cb48.163r,325,"Codex Bodmer 48, folio 163, recto"
urn:cite:hcmid:cb48.163r,326,"Codex Bodmer 48, folio 163, verso"
urn:cite:hcmid:cb48.164r,327,"Codex Bodmer 48, folio 164, recto"
urn:cite:hcmid:cb48.164r,328,"Codex Bodmer 48, folio 164, verso"
urn:cite:hcmid:cb48.165r,329,"Codex Bodmer 48, folio 165, recto"
urn:cite:hcmid:cb48.165r,330,"Codex Bodmer 48, folio 165, verso"
urn:cite:hcmid:cb48.166r,331,"Codex Bodmer 48, folio 166, recto"
urn:cite:hcmid:cb48.166r,332,"Codex Bodmer 48, folio 166, verso"
urn:cite:hcmid:cb48.167r,333,"Codex Bodmer 48, folio 167, recto"
urn:cite:hcmid:cb48.167r,334,"Codex Bodmer 48, folio 167, verso"
urn:cite:hcmid:cb48.168r,335,"Codex Bodmer 48, folio 168, recto"
urn:cite:hcmid:cb48.168r,336,"Codex Bodmer 48, folio 168, verso"
urn:cite:hcmid:cb48.169r,337,"Codex Bodmer 48, folio 169, recto"
urn:cite:hcmid:cb48.169r,338,"Codex Bodmer 48, folio 169, verso"
urn:cite:hcmid:cb48.170r,339,"Codex Bodmer 48, folio 170, recto"
urn:cite:hcmid:cb48.170r,340,"Codex Bodmer 48, folio 170, verso"
